Speaker,Prompt Name,Language,Gender,Tags,Prompt Audio Link,Continuation Audio Link
Speaker 5 (RU),v2/ru_speaker_5,Russian,Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/ru_speaker_5.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/ru_speaker_5.mp3
Speaker 6 (RU),v2/ru_speaker_6,Russian,Female,Grainy,https://dl.suno-models.io/bark/prompts/prompt_audio/ru_speaker_6.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/ru_speaker_6.mp3
Speaker 7 (RU),v2/ru_speaker_7,Russian,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/ru_speaker_7.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/ru_speaker_7.mp3
Speaker 8 (RU),v2/ru_speaker_8,Russian,Male,Grainy,https://dl.suno-models.io/bark/prompts/prompt_audio/ru_speaker_8.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/ru_speaker_8.mp3
Speaker 9 (RU),v2/ru_speaker_9,Russian,Female,Grainy,https://dl.suno-models.io/bark/prompts/prompt_audio/ru_speaker_9.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/ru_speaker_9.mp3
Speaker 0 (ES),v2/es_speaker_0,Spanish,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/es_speaker_0.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/es_speaker_0.mp3
Speaker 1 (ES),v2/es_speaker_1,Spanish,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/es_speaker_1.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/es_speaker_1.mp3
Speaker 2 (ES),v2/es_speaker_2,Spanish,Male,Background Noise,https://dl.suno-models.io/bark/prompts/prompt_audio/es_speaker_2.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/es_speaker_2.mp3
Speaker 3 (ES),v2/es_speaker_3,Spanish,Male,Background Noise,https://dl.suno-models.io/bark/prompts/prompt_audio/es_speaker_3.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/es_speaker_3.mp3
Speaker 4 (ES),v2/es_speaker_4,Spanish,Male,Starts at the end of another utterance,https://dl.suno-models.io/bark/prompts/prompt_audio/es_speaker_4.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/es_speaker_4.mp3
Speaker 5 (ES),v2/es_speaker_5,Spanish,Male,Background Noise,https://dl.suno-models.io/bark/prompts/prompt_audio/es_speaker_5.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/es_speaker_5.mp3
Speaker 6 (ES),v2/es_speaker_6,Spanish,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/es_speaker_6.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/es_speaker_6.mp3
Speaker 7 (ES),v2/es_speaker_7,Spanish,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/es_speaker_7.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/es_speaker_7.mp3
Speaker 8 (ES),v2/es_speaker_8,Spanish,Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/es_speaker_8.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/es_speaker_8.mp3
Speaker 9 (ES),v2/es_speaker_9,Spanish,Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/es_speaker_9.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/es_speaker_9.mp3
Speaker 0 (TR),v2/tr_speaker_0,Turkish,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/tr_speaker_0.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/tr_speaker_0.mp3
Speaker 1 (TR),v2/tr_speaker_1,Turkish,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/tr_speaker_1.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/tr_speaker_1.mp3
Speaker 2 (TR),v2/tr_speaker_2,Turkish,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/tr_speaker_2.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/tr_speaker_2.mp3
Speaker 3 (TR),v2/tr_speaker_3,Turkish,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/tr_speaker_3.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/tr_speaker_3.mp3
Speaker 4 (TR),v2/tr_speaker_4,Turkish,Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/tr_speaker_4.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/tr_speaker_4.mp3
Speaker 5 (TR),v2/tr_speaker_5,Turkish,Female,,https://dl.suno-models.io/bark/prompts/prompt_audio/tr_speaker_5.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/tr_speaker_5.mp3
Speaker 6 (TR),v2/tr_speaker_6,Turkish,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/tr_speaker_6.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/tr_speaker_6.mp3
Speaker 7 (TR),v2/tr_speaker_7,Turkish,Male,Grainy,https://dl.suno-models.io/bark/prompts/prompt_audio/tr_speaker_7.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/tr_speaker_7.mp3
Speaker 8 (TR),v2/tr_speaker_8,Turkish,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/tr_speaker_8.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/tr_speaker_8.mp3
Speaker 9 (TR),v2/tr_speaker_9,Turkish,Male,,https://dl.suno-models.io/bark/prompts/prompt_audio/tr_speaker_9.mp3,https://dl.suno-models.io/bark/prompts/continuation_audio/tr_speaker_9.mp3
